favorite_count,retweet_count,tweet_id
39467,8853,892420643555336193
33819,6514,892177421306343426
25461,4328,891815181378084864
42908,8964,891689557279858688
41048,9774,891327558926688256
20562,3261,891087950875897856
12041,2158,890971913173991426
56848,16716,890729181411237888
28226,4429,890609185150312448
32467,7711,890240255349198849
31166,7624,890006608113172480
28268,5156,889880896479866881
38818,8538,889665388333682689
27672,4735,889638837579907072
15359,2321,889531135344209921
25652,5637,889278841981685760
29611,4709,888917238123831296
26080,4559,888804989199671297
20290,3732,888554962724278272
22201,3653,888078434458587136
30779,5609,887705289381826560
46959,12082,887517139158093824
69871,18781,887473957103951883
34222,10737,887343217045368832
31061,6167,887101392804085760
35859,8084,886983233522544640
12306,3443,886736880519319552
22798,4610,886680336477933568
21524,3316,886366144734445568
117,4,886267009285017600
28469,6523,886258384151887873
0,108,886054160059072513
33382,7097,885984800019947520
36689,6683,885528943205470208
20788,3899,885518971528720385
0,19297,885311592912609280
22367,4556,885167619883638784
68152,16439,884925521741709313
28514,6096,884876753390489601
24765,5100,884562892145688576
27478,5856,884441805382717440
74423,21298,884247878851493888
20771,3128,884162670584377345
22349,3586,883838122936631299
46860,10407,883482846933004288
22986,3825,883360690899218434
37914,6949,883117836046086144
24445,4122,882992080364220416
28903,5134,882762694511734784
28382,6342,882627270321602560
45880,12118,882268110199369728
29900,5203,882045870035918850
24773,3533,881906580714921986
51522,11099,881666595344535552
129,7,881633300179243008
50199,16570,881536004380872706
23501,5358,881268444196462592
17346,2886,880935762899988482
21734,3989,880872448815771648
29075,6546,880465832366813184
27640,4436,880221127280381952
28150,4533,880095782870896641
22667,3642,879862464715927552
315,10,879674319642796034
23822,3323,879492040517615616
107956,45849,879415818425184262
17099,3261,879376492567855104
0,7181,879130579576475649
23022,4941,879050749262655488
19317,2812,879008229531029506
19763,4319,878776093423087618
30931,7582,878604707211726852
0,1349,878404777348136964
0,6965,878316110768087041
7913,1349,878281511006478336
42876,7181,878057613040115712
71144,17300,877736472329191424
0,83,877611172832227328
23258,3994,877556246731214848
27907,5414,877316821321428993
27755,5880,877201837425926144
21125,3506,876838120628539392
23869,4800,876537666061221889
19163,2511,876484053909872640
28490,4903,876120275196170240
25773,4497,875747767867523072
22185,5081,875144289856114688
27997,6342,875097192612077568
26022,4922,875021211251597312
28439,4875,874680097055178752
0,15546,874434818259525634
26651,4308,874296783580663808
23134,4125,874057562936811520
35501,11007,874012996292530176
0,12518,873697596434513921
24837,4143,873580283840344065
0,1667,873337748698140672
7467,1667,873213775632977920
28031,5669,872967104147763200
15029,3884,872820683541237760
0,31,872668790621863937
21309,3911,872620804844003328
41606,9429,872486979161796608
35085,6649,872261713294495745
35324,8549,872122724285648897
39090,11918,871879754684805121
20787,3678,871762521631449091
20730,3628,871515927908634625
0,5991,871166179821445120
21461,5764,871102520638267392
23255,3999,871032628920680449
33791,6393,870804317367881728
121,3,870726314365509632
12819,2817,870656317836468226
85011,27680,870374049280663552
22453,4384,870308999962521604
37771,8840,870063196459192321
0,25661,869988702071779329
43710,10663,869772420881756160
29116,6728,869702957897576449
16476,3327,869596645499047938
21112,4023,869227993411051520
55098,12518,868880397819494401
0,2240,868639477480148993
28295,6275,868622495443632128
10539,2240,868552278524837888
24964,4439,867900495410671616
35179,7788,867774946302451713
16755,2697,867421006826221569
0,135,867072653475098625
33420,8425,867051520902168576
0,32883,866816280283807744
20888,5168,866720684873056260
20070,3727,866686824827068416
106827,32883,866450705531457537
54720,15546,866334964761202691
0,8952,866094527597207552
26640,6008,865718153858494464
27530,5384,865359393868664832
29063,8209,865006731092295680
33651,9361,864873206498414592
15195,3266,864279568663928832
31459,9616,864197398364647424
21477,4441,863907417377173506
15935,4489,863553081350529029
0,2687,863471782782697472
24829,5664,863432100342583297
2363,105,863427515083354112
9094,1195,863079547188785154
8945,2687,863062471531167744
20011,5457,862831371563274240
17779,3809,862722525377298433
21492,5388,862457590147678208
66437,21840,862096992088072192
0,37911,861769973181624320
37744,11528,861383897657036800
18032,4479,861288531465048066
17538,4119,861005113778896900
0,2334,860981674716409858
0,882,860924035999428608
7878,2334,860563773140209665
24678,5698,860524505164394496
19154,3745,860276583193509888
17474,6295,860184849394610176
0,33421,860177593139703809
20021,4349,859924526012018688
16105,3780,859851578198683649
19476,1704,859607811541651456
75193,25661,859196978902773760
35553,14740,859074603037188101
0,8805,858860390427611136
16304,3771,858843525470990336
22640,5271,858471635011153920
16524,3154,858107933456039936
16952,2812,857989990357356544
36021,11524,857746408056729600
6236,1785,857393404942143489
21041,4934,857263160327368704
242,20,857214891891077121
0,183,857062103051644929
19910,4364,857029823797047296
0,11633,856602993587888130
17135,3131,856543823941562368
12446,2068,856526610513747968
0,731,856330835276025856
545,17,856288084350160898
29086,6841,856282028240666624
320,27,855862651834028034
4407,1058,855860136149123072
12498,2313,855857698524602368
47844,19196,855851453814013952
28056,5943,855818117272018944
31657,8987,855459453768019968
0,6568,855245323840757760
0,50,855138241867124737
24188,6690,854732716440526848
31131,7608,854482394044301312
20046,5159,854365224396361728
33911,8285,854120357044912130
17169,3433,854010172552949760
30414,6403,853760880890318849
37198,11265,853639147608842240
16508,3928,853299958564483072
0,2243,852936405516943360
9658,2037,852912242202992640
15939,2388,852672615818899456
17492,3885,852553447878664193
35325,10961,852311364735569921
21378,7570,852226086759018497
12217,1741,852189679701164033
0,10706,851953902622658560
0,23,851861385021730816
17300,3819,851591660324737024
25944,7855,851464819735769094
22090,6350,851224888060895234
33348,10352,850753642995093505
13994,2915,850380195714523136
3647,367,850333567704068097
17519,4244,850145622816686080
21944,5459,850019790995546112
32390,8404,849776966551130114
0,5513,849668094696017920
17039,3487,849412302885593088
12240,2101,849336543269576704
32617,7396,849051919805034497
27104,4826,848690551926992896
20229,4037,848324959059550208
8834,832,848213670039564288
17618,3444,848212111729840128
0,3652,847978865427394560
0,482,847971574464610304
25296,5730,847962785489326080
5935,1522,847842811428974592
7558,468,847617282490613760
20208,3774,847606175596138505
22036,4800,847251039262605312
21588,6572,847157206088847362
23108,3583,847116187444137987
21685,4404,846874817362120707
48410,13076,846514051647705089
15304,3492,846505985330044928
34394,10226,846153765933735936
33188,10972,846139713627017216
17256,3224,846042936437604353
31737,9894,845812042753855489
27154,5365,845677943972139009
0,15071,845459076796616705
8241,2072,845397057150107648
25225,6039,845306882940190720
0,8640,845098359547420673
14738,2909,844979544864018432
16361,3617,844973813909606400
42022,11633,844704788403113984
17871,3533,844580511645339650
14753,2450,844223788422217728
16327,3285,843981021012017153
23211,5220,843856843873095681
18310,3081,843604394117681152
23315,6852,843235543001513987
0,56625,842892208864923648
16440,4023,842846295480000512
7321,1439,842765311967449089
19637,3937,842535590457499648
26569,6568,842163532590374912
15204,3386,842115215311396866
0,17504,841833993020538882
27854,8748,841680585030541313
13755,4168,841439858740625411
21402,6080,841320156043304961
17305,5312,841314665196081154
24926,5991,841077006473256960
0,1972,840761248237133825
0,18285,840728873075638272
197,3,840698636975636481
13377,1116,840696689258311684
9761,1972,840632337062862849
17918,5146,840370681858686976
20950,6497,840268004936019968
14640,2597,839990271299457024
29957,8805,839549326359670784
0,158,839290600511926273
29684,7422,839239871831150596
21289,4505,838952994649550848
12183,2357,838921590096166913
0,38,838916489579200512
0,12643,838831947270979586
11892,1504,838561493054533637
24664,5484,838476387338051585
0,11525,838201503651401729
1824,370,838150277551247360
150,0,838085839343206401
19183,3582,838083903487373313
37277,8952,837820167694528512
4204,495,837482249356513284
13967,2631,837471256429613056
23074,6005,837366284874571778
17480,2731,837110210464448512
0,88,837012587749474308
13879,2610,836989968035819520
21029,5237,836753516572119041
13782,2522,836677758902222849
0,626,836648853927522308
0,31314,836397794269200385
16037,3337,836380477523124226
23177,4850,836260088725786625
20924,4935,836001077879255040
0,9327,835685285446955009
19447,4121,835574547218894849
0,1939,835536468978302976
0,24013,835309094223372289
17847,3381,835297930240217089
8503,1939,835264098648616962
2259,83,835246439529840640
28552,6516,835172783151792128
24574,3443,835152434251116546
11838,1878,834931633769889797
22943,6159,834786237630337024
14993,2882,834574053763584002
0,12224,834477809192075265
